날짜,발전기명,설비용량(MW),발전량(MWh)
2023.5.9,경상대태양광,0.905,0
2023.5.10,경상대태양광,0.905,2.9394
2023.5.11,경상대태양광,0.905,4.550616
2023.5.12,경상대태양광,0.905,3.030336
2023.5.13,경상대태양광,0.905,0
2023.5.14,경상대태양광,0.905,0
2023.5.15,경상대태양광,0.905,2.722608
2023.5.16,경상대태양광,0.905,4.609368
2023.5.17,경상대태양광,0.905,4.912056
2023.5.18,경상대태양광,0.905,1.011024
2023.5.19,경상대태양광,0.905,1.797768
2023.5.20,경상대태양광,0.905,0
2023.5.21,경상대태양광,0.905,0
2023.5.22,경상대태양광,0.905,0.746784
2023.5.23,경상대태양광,0.905,4.125096
2023.5.24,경상대태양광,0.905,3.975192
2023.5.25,경상대태양광,0.905,4.800384
2023.5.26,경상대태양광,0.905,1.70496
2023.5.27,경상대태양광,0.905,0
2023.5.28,경상대태양광,0.905,0
2023.5.29,경상대태양광,0.905,0
2023.5.30,경상대태양광,0.905,1.226808
2023.5.31,경상대태양광,0.905,4.961376
2023.6.1,경상대태양광,0.905,0.782208
2023.6.2,경상대태양광,0.905,4.717008
2023.6.3,경상대태양광,0.905,4.396608
2023.6.4,경상대태양광,0.905,4.571352
2023.6.5,경상대태양광,0.905,3.022344
2023.6.6,경상대태양광,0.905,3.997584
2023.6.7,경상대태양광,0.905,3.982608
2023.6.8,경상대태양광,0.905,3.921336
2023.6.9,경상대태양광,0.905,4.062168
2023.6.10,경상대태양광,0.905,4.195944
2023.6.11,경상대태양광,0.905,3.606336
2023.6.12,경상대태양광,0.905,3.867696
2023.6.13,경상대태양광,0.905,3.816432
2023.6.14,경상대태양광,0.905,3.188376
2023.6.15,경상대태양광,0.905,3.037392
2023.6.16,경상대태양광,0.905,4.426848
2023.6.17,경상대태양광,0.905,3.959424
2023.6.18,경상대태양광,0.905,4.34736
2023.6.19,경상대태양광,0.905,4.1184
2023.6.20,경상대태양광,0.905,3.081816
2023.6.21,경상대태양광,0.905,0.947232
2023.6.22,경상대태양광,0.905,4.174416
2023.6.23,경상대태양광,0.905,3.881664
2023.6.24,경상대태양광,0.905,3.745296
2023.6.25,경상대태양광,0.905,2.351448
2023.6.26,경상대태양광,0.905,1.631232
2023.6.27,경상대태양광,0.905,3.927888
2023.6.28,경상대태양광,0.905,2.953728
2023.6.29,경상대태양광,0.905,1.192104
2023.6.30,경상대태양광,0.905,1.193544
2023.7.1,경상대태양광,0.905,1.962864
2023.7.2,경상대태양광,0.905,3.171456
2023.7.3,경상대태양광,0.905,3.025584
2023.7.4,경상대태양광,0.905,0.798264
2023.7.5,경상대태양광,0.905,4.463208
2023.7.6,경상대태양광,0.905,3.681
2023.7.7,경상대태양광,0.905,0.495216
2023.7.8,경상대태양광,0.905,1.019808
2023.7.9,경상대태양광,0.905,1.540152
2023.7.10,경상대태양광,0.905,3.191112
2023.7.11,경상대태양광,0.905,1.19196
2023.7.12,경상대태양광,0.905,1.625328
2023.7.13,경상대태양광,0.905,1.405152
2023.7.14,경상대태양광,0.905,0.570528
2023.7.15,경상대태양광,0.905,1.741536
2023.7.16,경상대태양광,0.905,0.771912
2023.7.17,경상대태양광,0.905,2.502864
2023.7.18,경상대태양광,0.905,0.443736
