발전기명,변수,중요도,누적 중요도,R²,순위
인천태양광,일조시간,0.4272814657151667,0.4272814657151667,0.8207,1
인천태양광,일사량,0.41564673199154795,0.8429281977067147,0.8207,2
인천태양광,평균기온,0.040900711968981235,0.8838289096756959,0.8207,3
인천태양광,평균습도,0.03377190561580521,0.9176008152915012,0.8207,4
인천태양광,총강수량,0.033751193753742935,0.9513520090452441,0.8207,5
인천태양광,평균풍속,0.02464722250117648,0.9759992315464205,0.8207,6
인천태양광,평균운량,0.0222999100191019,0.9982991415655225,0.8207,7
인천태양광,총적설량,0.0017008584344775889,1.0,0.8207,8
인천태양광,설비용량(MW),0.0,1.0,0.8207,9
제주대태양광,일사량,0.6612011603582538,0.6612011603582538,0.7997,1
제주대태양광,일조시간,0.12339194281498983,0.7845931031732436,0.7997,2
제주대태양광,평균기온,0.05734813167962087,0.8419412348528644,0.7997,3
제주대태양광,평균습도,0.05561570613108205,0.8975569409839464,0.7997,4
제주대태양광,평균풍속,0.03902516890695134,0.9365821098908977,0.7997,5
제주대태양광,총강수량,0.03568737630592689,0.9722694861968246,0.7997,6
제주대태양광,평균운량,0.026987863969061752,0.9992573501658863,0.7997,7
제주대태양광,총적설량,0.0007426498341135279,0.9999999999999999,0.7997,8
제주대태양광,설비용량(MW),0.0,0.9999999999999999,0.7997,9
제주성읍리태양광,일조시간,0.42379270232651667,0.42379270232651667,0.728,1
제주성읍리태양광,일사량,0.32059628718118166,0.7443889895076983,0.728,2
제주성읍리태양광,총강수량,0.08217018721593371,0.826559176723632,0.728,3
제주성읍리태양광,평균기온,0.053430676931806524,0.8799898536554385,0.728,4
제주성읍리태양광,평균습도,0.04889752244596469,0.9288873761014032,0.728,5
제주성읍리태양광,평균풍속,0.036870094065814006,0.9657574701672171,0.728,6
제주성읍리태양광,평균운량,0.033015017993918545,0.9987724881611357,0.728,7
제주성읍리태양광,총적설량,0.0012275118388641395,0.9999999999999999,0.728,8
제주성읍리태양광,설비용량(MW),0.0,0.9999999999999999,0.728,9
제주태양광,일사량,0.78780919397022,0.78780919397022,0.8272,1
제주태양광,일조시간,0.10289385675693158,0.8907030507271516,0.8272,2
제주태양광,총강수량,0.02553117256919408,0.9162342232963457,0.8272,3
제주태양광,평균풍속,0.024050382248283125,0.9402846055446289,0.8272,4
제주태양광,평균기온,0.02376224327084873,0.9640468488154776,0.8272,5
제주태양광,평균습도,0.018784911164983886,0.9828317599804616,0.8272,6
제주태양광,평균운량,0.016184946293945023,0.9990167062744066,0.8272,7
제주태양광,총적설량,0.0009832937255936254,1.0000000000000002,0.8272,8
제주태양광,설비용량(MW),0.0,1.0000000000000002,0.8272,9
